source,target,weight
Karimnagar,Bombing/Explosion,1
Karnal District,Bombing/Explosion,1
Karpi,Armed Assault,1
Kashmir,Armed Assault,2
Kashmir,Bombing/Explosion,4
Kathalguri,Bombing/Explosion,1
Kathua,Bombing/Explosion,2
Kathua (District),Armed Assault,1
Katra,Bombing/Explosion,1
Keonjhar,Armed Assault,2
Keonjhar,Assassination,1
Keonjhar,Facility/Infrastructure Attack,1
Keonjhar,Unknown,2
Keshpur,Armed Assault,1
Keshwan Kishtwar,Armed Assault,1
Khagaria,Armed Assault,1
Khammam,Armed Assault,1
Khammam,Hostage Taking (Kidnapping),2
Khannabal,Armed Assault,1
Kharagpur,Bombing/Explosion,1
Kharout,Armed Assault,1
Khejuri,Bombing/Explosion,1
Kheora,Bombing/Explosion,1
Khiram,Armed Assault,1
Khoiphuta,Armed Assault,1
Khowja,Bombing/Explosion,1
Khrew,Armed Assault,2
Khudwani,Bombing/Explosion,1
Khudwani Puhroo,Armed Assault,1
Khunti,Armed Assault,4
Khunti,Bombing/Explosion,2
Khunti,Hostage Taking (Kidnapping),1
Kishtwar,Armed Assault,5
Kishtwar,Hostage Taking (Kidnapping),2
Kohima,Armed Assault,2
Kohima,Hostage Taking (Kidnapping),4
Kokernag,Armed Assault,1
Kokernag,Bombing/Explosion,1
Kokrajhar,Armed Assault,9
Kokrajhar,Assassination,1
Kokrajhar,Bombing/Explosion,1
Kokrajhar,Hostage Taking (Kidnapping),2
Kokrajhar,Unknown,1
Kokrajhar District,Armed Assault,2
Kolkata,Bombing/Explosion,1
Konibal,Assassination,1
Koram,Hostage Taking (Kidnapping),1
Koraput,Armed Assault,4
Koraput,Bombing/Explosion,6
Koraput,Facility/Infrastructure Attack,2
Kot Budhan,Armed Assault,1
Kotalpakur,Bombing/Explosion,1
Kotdhara,Armed Assault,1
Kothur,Bombing/Explosion,1
Kotranaka,Hostage Taking (Kidnapping),1
Kotrapal,Armed Assault,1
Krishnaghati,Assassination,1
Krusan-Lalpora,Armed Assault,1
Kud,Bombing/Explosion,1
Kudhar Naka Bunjwah,Hostage Taking (Kidnapping),1
Kudur,Bombing/Explosion,1
Kulangam,Bombing/Explosion,1
Kulgam,Armed Assault,3
Kulgam,Assassination,2
Kulgam,Bombing/Explosion,5
Kuligaon,Bombing/Explosion,1
Kulipora,Assassination,1
Kumarpara,Bombing/Explosion,1
Kumrighata,Armed Assault,1
Kundlakunta,Assassination,1
Kuntwar,Hostage Taking (Kidnapping),1
Kunwarpur,Bombing/Explosion,1
Kunzar-Tangmarg,Assassination,1
Kunzer,Armed Assault,1
Kupwara,Armed Assault,4
Kupwara,Assassination,2
Kupwara,Bombing/Explosion,6
Kupwara,Facility/Infrastructure Attack,1
Kupwara,Hostage Taking (Kidnapping),1
Kupwara (District),Armed Assault,1
Kupwara District,Armed Assault,1
Kupwara District,Assassination,1
Kupwara district,Hostage Taking (Kidnapping),1
Kwakta Awang Leikal,Armed Assault,1
Ladakh,Armed Assault,1
Ladakh,Bombing/Explosion,1
Lakhimpur,Facility/Infrastructure Attack,1
Lakhimpur District,Bombing/Explosion,1
Lakhinagar,Bombing/Explosion,1
Lakhisarai,Bombing/Explosion,1
